n_rows,n_cols,T/Tc,Steps(K),Time,Magnetisation	
128,128,0.0001,100000,17.2797,1	
128,128,0.1,100000,19.8091,1
128,128,0.15,100000,18.2448,1	
128,128,0.2,100000,19.0284,1
128,128,0.25,100000,29.8252,1
128,128,0.55,100000,17.2614,0.99646
128,128,0.6,100000,35.8861,0.992188
128,128,0.65,50000,15.4189,0.911499
128,128,0.7,50000,13.9913,0.821572
128,128,0.75,50000,13.5867,0.701641
128,128,0.8,10000,2.76689,0.588477
128,128,0.85,10000,2.97142,0.443809
128,128,0.9,10000,2.83107,0.245366
128,128,0.95,10000,2.96199,0.099658
128,128,1,10000,1.79709,0.014136
128,128,1.5,100000,28.8219,0.0266113
128,128,2,100000,19.1803,0.00256348
128,128,2.5,100000,36.4893,0.00158691
128,128,3,100000,24.6084,0.000610352	
